https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_replace2.py,27,df['pickup_datetime'].apply(lambdax:int(x.split('')[1].split(':')[0])),"pd.DataFrame(df['pickup_datetime']).apply(lambdax:int(x.split('')[1].split(':')[0]),axis=1)",pd.Series.apply,pd.DataFrame.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_replace3.py,28,df['pickup_datetime'].apply(lambdax:int(x.split('')[1].split(':')[1])),"pd.DataFrame(df['pickup_datetime']).apply(lambdax:int(x.split('')[1].split(':')[1]),axis=1)",pd.Series.apply,pd.DataFrame.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.DataFrame.apply_where_replace0.py,31,"df.apply(lambdarow:1ifrow['month']==1androw['day']==1orrow[	'month']==7androw['day']==4orrow['month']==11androw['day']==	11orrow['month']==12androw['day']==25orrow['month']==1and	row['day']>=15androw['day']<=21androw['weekday']==0orrow[	'month']==2androw['day']>=15androw['day']<=21androw[	'weekday']==0orrow['month']==5androw['day']>=25androw['day'	]<=31androw['weekday']==0orrow['month']==9androw['day']>=	1androw['day']<=7androw['weekday']==0orrow['month']==10and	row['day']>=8androw['day']<=14androw['weekday']==0orrow[	'month']==11androw['day']>=22androw['day']<=28androw[	'weekday']==3else0,axis=1)","df['month']==1anddf['day']==1ordf[	'month']==7anddf['day']==4ordf['month']==11anddf['day']==	11ordf['month']==12anddf['day']==25ordf['month']==1and	df['day']>=15anddf['day']<=21anddf['weekday']==0ordf[	'month']==2anddf['day']>=15anddf['day']<=21anddf[	'weekday']==0ordf['month']==5anddf['day']>=25anddf['day'	]<=31anddf['weekday']==0ordf['month']==9anddf['day']>=	1anddf['day']<=7anddf['weekday']==0ordf['month']==10and	df['day']>=8anddf['day']<=14anddf['weekday']==0ordf[	'month']==11anddf['day']>=22anddf['day']<=28anddf[	'weekday'].apply(lambdarow:1ifrow==3else0)",pd.DataFrame.apply,pd.Series.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.DataFrame.apply_where_replace1.py,32,"df.apply(lambdarow:1ifrow['month']==12androw['day']==31orrow[	'month']==7androw['day']==3orrow['month']==11androw['day']==	10orrow['month']==12androw['day']==24orrow['month']==1and	row['day']>=14androw['day']<=20androw['weekday']==6orrow[	'month']==2androw['day']>=14androw['day']<=20androw[	'weekday']==6orrow['month']==5androw['day']>=24androw['day'	]<=30androw['weekday']==6or(row['month']==9androw['day']>=	1androw['day']<=6or(row['month']==8androw['day']==31)and	row['weekday']==6)orrow['month']==10androw['day']>=7androw[	'day']<=13androw['weekday']==6orrow['month']==11androw[	'day']>=21androw['day']<=27androw['weekday']==2else0,axis=1)","df['month']==12anddf['day']==31ordf[	'month']==7anddf['day']==3ordf['month']==11anddf['day']==	10ordf['month']==12anddf['day']==24ordf['month']==1and	df['day']>=14anddf['day']<=20anddf['weekday']==6ordf[	'month']==2anddf['day']>=14anddf['day']<=20anddf[	'weekday']==6ordf['month']==5anddf['day']>=24anddf['day'	]<=30anddf['weekday']==6or(df['month']==9anddf['day']>=	1anddf['day']<=6or(df['month']==8anddf['day']==31)and	df['weekday']==6)ordf['month']==10anddf['day']>=7anddf[	'day']<=13anddf['weekday']==6ordf['month']==11anddf[	'day']>=21anddf['day']<=27anddf['weekday'].apply(lambdarow:1ifrow==2else0)",pd.DataFrame.apply,pd.Series.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.astype_replace0.py,29,df.pickup_datetime.astype('datetime64[ns]'),df.pickup_datetime.apply('datetime64[ns]'),pd.Series.astype,pd.Series.apply
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_map_replace0.py,25,df['pickup_datetime'].apply(lambdax:int(x.split('')[0].split('-')[1])),df['pickup_datetime'].map(lambdax:int(x.split('')[0].split('-')[1])),pd.Series.apply,pd.Series.map
https://www.kaggle.com/amazone/lightgbm-regressor,D://crw_data//df.apply\source20,D://crw_data//df.apply\source20\code\pd.Series.apply_map_replace1.py,26,df['pickup_datetime'].apply(lambdax:int(x.split('')[0].split('-')[2])),df['pickup_datetime'].map(lambdax:int(x.split('')[0].split('-')[2])),pd.Series.apply,pd.Series.map
https://www.kaggle.com/animesh371/expediascript,D://crw_data//np.arange\source215,D://crw_data//np.arange\source215\code\pd.DataFrame.fillna_replace0.py,101,frame[datename].fillna('2015-01-01'),frame[datename].combine_first(frame[datename].applymap(lambdax:'2015-01-01')),pd.DataFrame.fillna,pd.DataFrame.combine_first
https://www.kaggle.com/arjundatt/trial1,D://crw_data//df.at\source14,D://crw_data//df.at\source14\code\pd.DataFrame.iloc_replace1.py,43,df_all.iloc[num_train:],df_all.iat[num_train:],pd.DataFrame.iloc,pd.DataFrame.iat
https://www.kaggle.com/arjundatt/trial1,D://crw_data//df.at\source14,D://crw_data//df.at\source14\code\pd.Series.astype_replace0.py,32,df_all['search_term'].map(lambdax:len(x.split())).astype(np.int64),df_all['search_term'].map(lambdax:len(x.split())).apply(np.int64),pd.Series.astype,pd.Series.apply
